Event ID,Date/Time UTC,Depth km,Magnitude,Latitude,Longitude,Distance From Closest Volcano
av91097948,2023-04-20 13:36:37,-3.19,0.44,56.8596666667,-158.0098333333,9.15 km (5.68 mi) ESE of Aniakchak (105º)
av91097903,2023-04-20 07:42:07,-2.4,1.23,56.8668333333,-158.0663333333,5.63 km (3.50 mi) ESE of Aniakchak (107º)
av91097863,2023-04-19 23:52:36,-0.34,1.28,56.9083333333,-158.0423333333,7.46 km (4.64 mi) ENE of Aniakchak (66º)
av91097868,2023-04-19 23:12:20,-3.2,0.92,56.9063333333,-158.0898333333,4.83 km (3.00 mi) ENE of Aniakchak (55º)
av91097693,2023-04-18 11:00:03,-3.2,0.71,56.8876666667,-158.1196666667,2.25 km (1.40 mi) E of Aniakchak (72º)
av91097768,2023-04-17 17:25:46,8.01,2.05,56.8295,-158.0045,10.82 km (6.72 mi) SE of Aniakchak (122º)
av91097448,2023-04-13 08:01:36,-3.2,1.16,56.8993333333,-158.079,5.02 km (3.12 mi) ENE of Aniakchak (67º)
av91843681,2023-04-11 01:50:27,1.72,1.72,56.8596666667,-158.0445,7.14 km (4.43 mi) ESE of Aniakchak (110º)
av91842421,2023-04-10 09:24:34,7.51,2.55,56.8546666667,-158.0336666667,7.95 km (4.94 mi) ESE of Aniakchak (112º)
av91839176,2023-04-08 02:11:58,2.58,1.27,56.8618333333,-158.1108333333,3.46 km (2.15 mi) SE of Aniakchak (129º)
av91838346,2023-04-07 08:38:04,-3.19,1.8,56.9026666667,-158.0953333333,4.32 km (2.68 mi) ENE of Aniakchak (57º)
av91097188,2023-04-07 08:12:22,-3.17,0.56,56.862,-158.1365,2.44 km (1.52 mi) SSE of Aniakchak (153º)
av91837681,2023-04-06 19:23:19,-2.5,0.83,56.8561666667,-158.2006666667,3.95 km (2.46 mi) SW of Aniakchak (225º)
av91837541,2023-04-06 16:11:50,-3.17,1.15,56.916,-158.0676666667,6.55 km (4.06 mi) ENE of Aniakchak (54º)
av91837191,2023-04-06 10:36:47,1.67,1.53,56.8731666667,-158.1241666667,2.09 km (1.30 mi) SE of Aniakchak (116º)
av91836691,2023-04-06 03:00:50,-3.2,3.3,56.9053333333,-158.152,2.66 km (1.65 mi) NNE of Aniakchak (4º)
av91836686,2023-04-06 03:00:30,-3.2,1.73,56.9195,-158.1251666667,4.60 km (2.85 mi) NE of Aniakchak (23º)
av91096898,2023-04-05 08:19:33,-3.2,0.54,56.863,-158.1028333333,3.78 km (2.35 mi) SE of Aniakchak (123º)
av91835196,2023-04-05 06:14:30,-3.2,0.98,56.8738333333,-158.194,2.52 km (1.56 mi) W of Aniakchak (250º)
