-161.000000,53.540000,0.010413	-162.725000,53.525000,17.824238
-161.000000,53.540000,0.010339	-162.675000,53.525000,16.785229
-161.000000,53.540000,0.010263	-162.575000,53.525000,15.597497
-161.000000,53.540000,0.010185	-162.475000,53.525000,14.839342
-161.000000,53.540000,0.010104	-162.425000,53.525000,14.196793
-161.000000,53.540000,0.010021	-162.325000,53.525000,13.473343
-161.000000,53.540000,0.010021	-162.225000,53.525000,13.018287
-161.000000,53.540000,0.010021	-162.175000,53.525000,12.637241
-161.000000,53.540000,0.009936	-162.075000,53.525000,12.211147
-161.000000,53.540000,0.009936	-161.975000,53.525000,11.943051
-161.000000,53.540000,0.009936	-161.925000,53.525000,11.715710
-161.000000,53.540000,0.009849	-161.825000,53.525000,11.454229
-161.000000,53.540000,0.009849	-161.725000,53.525000,11.282182
-161.000000,53.540000,0.009849	-161.675000,53.525000,11.127035
-161.000000,53.540000,0.009849	-161.575000,53.525000,10.934959
-161.000000,53.540000,0.009849	-161.475000,53.525000,10.798022
-161.000000,53.540000,0.009849	-161.425000,53.525000,10.664711
-161.000000,53.540000,0.009759	-161.325000,53.525000,10.488768
-161.000000,53.540000,0.009759	-161.225000,53.525000,10.357060
-161.000000,53.540000,0.009759	-161.175000,53.525000,10.225126
-161.000000,53.540000,0.009759	-161.075000,53.525000,10.049091
-161.000000,53.540000,0.009759	-160.975000,53.525000,9.917285
-160.940327,53.540000,0.010148	-160.925000,53.525000,9.785994
-160.820979,53.540000,0.011000	-160.825000,53.525000,9.611628
-160.701632,53.540000,0.011797	-160.725000,53.525000,9.481115
-160.701632,53.540000,0.011797	-160.675000,53.525000,9.350403
-161.000000,53.600000,0.011556	-163.425000,53.575000,36.645042
-161.000000,53.600000,0.011488	-163.325000,53.575000,32.905304
-161.000000,53.600000,0.011462	-163.225000,53.575000,30.359861
-161.000000,53.600000,0.011374	-163.175000,53.575000,28.062168
-161.000000,53.600000,0.011341	-163.075000,53.575000,25.315153
-161.000000,53.600000,0.011269	-162.975000,53.575000,23.483244
-161.000000,53.600000,0.011231	-162.925000,53.575000,21.867382
-161.000000,53.600000,0.011190	-162.825000,53.575000,19.980919
-161.000000,53.600000,0.011148	-162.725000,53.575000,18.752243
-161.000000,53.600000,0.011056	-162.675000,53.575000,17.691074
-161.000000,53.600000,0.011008	-162.575000,53.575000,16.474369
-161.000000,53.600000,0.011008	-162.475000,53.575000,15.694989
-161.000000,53.600000,0.010904	-162.425000,53.575000,15.031935
-161.000000,53.600000,0.010904	-162.325000,53.575000,14.282522
-161.000000,53.600000,0.010849	-162.225000,53.575000,13.809295
-161.000000,53.600000,0.010792	-162.175000,53.575000,13.411635
-161.000000,53.600000,0.010732	-162.075000,53.575000,12.965631
-161.000000,53.600000,0.010732	-161.975000,53.575000,12.684268
-161.000000,53.600000,0.010671	-161.925000,53.575000,12.445167
-161.000000,53.600000,0.010671	-161.825000,53.575000,12.169641
-161.000000,53.600000,0.010607	-161.725000,53.575000,11.987989
-161.000000,53.600000,0.010541	-161.675000,53.575000,11.823809
-161.000000,53.600000,0.010541	-161.575000,53.575000,11.620011
-161.000000,53.600000,0.010473	-161.475000,53.575000,11.474291
-161.000000,53.600000,0.010473	-161.425000,53.575000,11.332006
-161.000000,53.600000,0.010473	-161.325000,53.575000,11.143684
-161.000000,53.600000,0.010403	-161.225000,53.575000,11.002340
-161.000000,53.600000,0.010403	-161.175000,53.575000,10.860416
-161.000000,53.600000,0.010403	-161.075000,53.575000,10.670645
-161.000000,53.600000,0.010330	-160.975000,53.575000,10.528272
-161.000000,53.600000,0.010330	-160.925000,53.575000,10.386203
-161.000000,53.600000,0.010330	-160.825000,53.575000,10.197230
-161.000000,53.600000,0.010330	-160.725000,53.575000,10.055593
-161.000000,53.600000,0.010256	-160.675000,53.575000,9.913561
-161.000000,53.600000,0.010256	-160.575000,53.575000,9.723120
-161.000000,53.600000,0.010256	-160.475000,53.575000,9.579444
-161.000000,53.600000,0.010256	-160.425000,53.575000,9.435425
-161.000000,53.600000,0.010256	-160.325000,53.575000,9.244452
-161.000000,53.600000,0.010256	-160.225000,53.575000,9.103296
-161.000000,53.600000,0.010256	-163.475000,53.625000,40.992878
-161.000000,53.600000,0.010256	-163.425000,53.625000,37.871834
-161.000000,53.600000,0.010179	-163.325000,53.625000,34.076683
-161.000000,53.600000,0.010179	-163.225000,53.625000,31.493704
-161.000000,53.600000,0.010179	-163.175000,53.625000,29.162380
-161.000000,53.600000,0.010179	-163.075000,53.625000,26.375359
-161.000000,53.600000,0.010179	-162.975000,53.625000,24.516691
-161.000000,53.600000,0.010179	-162.925000,53.625000,22.876743
-161.000000,53.600000,0.010179	-162.825000,53.625000,20.960873
-161.000000,53.600000,0.010179	-162.725000,53.625000,19.711620
-161.000000,53.600000,0.010179	-162.675000,53.625000,18.630836
-161.000000,53.600000,0.010179	-162.575000,53.625000,17.388821
-161.000000,53.600000,0.010179	-162.475000,53.625000,16.590988
-161.000000,53.600000,0.010100	-162.425000,53.625000,15.910096
-161.000000,53.600000,0.010100	-162.325000,53.625000,15.138008
-161.000000,53.600000,0.010100	-162.225000,53.625000,14.648840
-161.000000,53.600000,0.010100	-162.175000,53.625000,14.236538
-161.000000,53.600000,0.010100	-162.075000,53.625000,13.772898
-160.940327,53.600000,0.010518	-161.975000,53.625000,13.479700
-161.000000,53.600000,0.010100	-161.925000,53.625000,13.229991
-161.000000,53.600000,0.010100	-161.825000,53.625000,12.941574
-160.820979,53.600000,0.011441	-161.725000,53.625000,12.750898
-160.701632,53.600000,0.012495	-161.675000,53.625000,12.577993
-161.000000,53.600000,0.010100	-161.575000,53.625000,12.362569
-160.701632,53.600000,0.012495	-161.475000,53.625000,12.207944
-161.000000,53.600000,0.010100	-161.425000,53.625000,12.056431
-160.940327,53.600000,0.010423	-161.325000,53.625000,11.855301
-160.582285,53.600000,0.013498	-161.225000,53.625000,11.703976
-160.820979,53.600000,0.011317	-161.175000,53.625000,11.551739
-160.462938,53.600000,0.014822	-161.075000,53.625000,11.347858
-160.701632,53.600000,0.012336	-160.975000,53.625000,11.194691
-160.403264,53.600000,0.015551	-160.925000,53.625000,11.041666
-160.701632,53.600000,0.012336	-160.825000,53.625000,10.837894
-160.343591,53.600000,0.016328	-160.725000,53.625000,10.685003
-160.582285,53.600000,0.013498	-160.675000,53.625000,10.531525
-160.224244,53.600000,0.018033	-160.575000,53.625000,10.325479
-160.462938,53.600000,0.014822	-160.475000,53.625000,10.169785
-160.164570,53.600000,0.018556	-160.425000,53.625000,10.013378
-160.403264,53.600000,0.015270	-160.325000,53.625000,9.805341
-160.045223,53.600000,0.020514	-160.225000,53.625000,9.650947
-160.343591,53.600000,0.016018	-160.175000,53.625000,9.499632
-159.985549,53.600000,0.021577	-160.075000,53.625000,9.303194
-160.224244,53.600000,0.017659	-159.975000,53.625000,9.159904
-159.925876,53.600000,0.022697	-159.925000,53.625000,9.019718
-161.000000,53.660000,0.011536	-163.475000,53.675000,42.357754
-161.000000,53.660000,0.011495	-163.425000,53.675000,39.168930
-161.000000,53.660000,0.011419	-163.325000,53.675000,35.298428
-161.000000,53.660000,0.011372	-163.225000,53.675000,32.668232
-161.000000,53.660000,0.011288	-163.175000,53.675000,30.297226
-161.000000,53.660000,0.011187	-163.075000,53.675000,27.465538
-161.000000,53.660000,0.011150	-162.975000,53.675000,25.578569
-161.000000,53.660000,0.011069	-162.925000,53.675000,23.914452
-161.000000,53.660000,0.010981	-162.825000,53.675000,21.970490
-161.000000,53.660000,0.010934	-162.725000,53.675000,20.702448
-161.000000,53.660000,0.010884	-162.675000,53.675000,19.604340
-161.000000,53.660000,0.010779	-162.575000,53.675000,18.340420
-161.000000,53.660000,0.010779	-162.475000,53.675000,17.526796
-161.000000,53.660000,0.010723	-162.425000,53.675000,16.830687
-161.000000,53.660000,0.010666	-162.325000,53.675000,16.039257
-161.000000,53.660000,0.010666	-162.225000,53.675000,15.536483
-161.000000,53.660000,0.010606	-162.175000,53.675000,15.111670
-161.000000,53.660000,0.010606	-162.075000,53.675000,14.632923
-161.000000,53.660000,0.010544	-161.975000,53.675000,14.329530
-161.000000,53.660000,0.010544	-161.925000,53.675000,14.070561
-161.000000,53.660000,0.010544	-161.825000,53.675000,13.770635
-161.000000,53.660000,0.010544	-161.725000,53.675000,13.571650
-161.000000,53.660000,0.010479	-161.675000,53.675000,13.390425
-161.000000,53.660000,0.010479	-161.575000,53.675000,13.163554
-161.000000,53.660000,0.010479	-161.475000,53.675000,12.999938
-161.000000,53.660000,0.010479	-161.425000,53.675000,12.838961
-161.000000,53.660000,0.010479	-161.325000,53.675000,12.624603
-161.000000,53.660000,0.010413	-161.225000,53.675000,12.462962
-161.000000,53.660000,0.010413	-161.175000,53.675000,12.300106
-161.000000,53.660000,0.010413	-161.075000,53.675000,12.081782
-161.000000,53.660000,0.010413	-160.975000,53.675000,11.917634
